EntranceMayorsResidenceFromEastClockTown,EntranceEastClockTownFromMayorsResidence
EntranceMagicHagsPotionShopFromSouthernSwamp,EntranceSouthernSwampFromMagicHagsPotionShop
EntranceRanchBarnFromRomaniRanch,EntranceRomaniRanchFromBarn
EntranceRanchHouseFromRomaniRanch,EntranceRomaniRanchFromRanchHouse
EntranceHoneyDarlingsShopFromEastClockTown,EntranceEastClockTownFromHoneyDarlingsShop
EntranceBeneathGraveyardFromIkanaGraveyardNight2,EntranceIkanaGraveyardFromDay2Grave
EntranceBeneathGraveyardFromIkanaGraveyardNight1,EntranceIkanaGraveyardFromDay1Grave
EntranceSouthernSwampFromRoadtoSouthernSwamp,EntranceRoadtoSouthernSwampFromSouthernSwamp
EntranceSouthernSwampFromTouristInformation,EntranceTouristInformationFromSouthernSwamp
EntranceSouthernSwampFromWoodfall,EntranceWoodfallFromSouthernSwamp
EntranceSouthernSwampFromDekuPalaceLower,EntranceDekuPalaceFromSouthernSwampLower
EntranceSouthernSwampFromDekuPalaceUpper,EntranceDekuPalaceFromSouthernSwampUpper
EntranceSouthernSwampFromMagicHagsPotionShop,EntranceMagicHagsPotionShopFromSouthernSwamp
EntranceSouthernSwampFromWoodsofMystery,EntranceWoodsofMysteryFromSouthernSwamp
EntranceSouthernSwampFromSwampSpiderHouse,EntranceSwampSpiderHouseFromSouthernSwamp
EntranceCuriosityShopFromWestClockTown,EntranceWestClockTownFromCuriosityShop
EntranceKafeisHideoutFromLaundryPool,EntranceLaundryPoolFromKafeisHideout
EntranceCuriosityShopFromKafeisHideout,EntranceKafeisHideoutFromCuriosityShop
EntranceKafeisHideoutFromCuriosityShop,EntranceCuriosityShopFromKafeisHideout
EntranceGrottoPalaceStraightFromDekuPalaceA,EntranceDekuPalaceGardenEastFromPalaceStraightGrotto
EntranceGrottoPalaceVinesFromDekuPalaceLower,EntranceDekuPalaceGardenEastFromPalaceVinesGrotto
EntranceGrottoBeanSellerFromDekuPalace,EntranceDekuPalaceGardenEastFromBeanSellerGrotto
EntranceGrottoPalaceStraightFromDekuPalaceB,EntranceDekuPalaceGardenWestFromPalaceStraightGrotto
EntranceGrottoPalaceVinesFromDekuPalaceUpper,EntranceDekuPalaceGardenWestFromPalaceVinesGrotto
EntranceGrottoLensCaveFromGoronVillage,EntranceGoronVillageFromLensCave
EntranceIkanaCanyonFromRoadtoIkana,EntranceRoadtoIkanaFromIkanaCanyon
EntranceIkanaCanyonFromPoeHut,EntrancePoeHutFromIkanaCanyon
EntranceIkanaCanyonFromMusicBoxHouse,EntranceMusicBoxHouseFromIkanaCanyon
EntranceIkanaCanyonFromStoneTower,EntranceStoneTowerFromIkanaCanyon
EntranceIkanaCanyonFromBeneaththeWell,EntranceBeneaththeWellFromIkanaCanyon
EntranceIkanaCanyonFromSakonsHideout,EntranceSakonsHideoutFromIkanaCanyon
