DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem
Adult Spawn => Temple of Time,Adult Spawn => Temple of Time,Adult Spawn <= Temple of Time,,Entrance,Adult Spawn => Temple of Time,
Child Spawn => Links House,Child Spawn => Links House,Child Spawn <= Links House,,Entrance,Child Spawn => Links House,
Bolero of Fire Warp => Death Mountain Crater Central Local,Bolero of Fire Warp => Death Mountain Crater Central Local,Bolero of Fire Warp <= Death Mountain Crater Central Local,,Entrance,Bolero of Fire Warp => Death Mountain Crater Central Local,
Minuet of Forest Warp => Sacred Forest Meadow,Minuet of Forest Warp => Sacred Forest Meadow,Minuet of Forest Warp <= Sacred Forest Meadow,,Entrance,Minuet of Forest Warp => Sacred Forest Meadow,
Nocturne of Shadow Warp => Shadow Temple Warp Region,Nocturne of Shadow Warp => Shadow Temple Warp Region,Nocturne of Shadow Warp <= Shadow Temple Warp Region,,Entrance,Nocturne of Shadow Warp => Shadow Temple Warp Region,
Prelude of Light Warp => Temple of Time,Prelude of Light Warp => Temple of Time,Prelude of Light Warp <= Temple of Time,,Entrance,Prelude of Light Warp => Temple of Time,
Requiem of Spirit Warp => Desert Colossus,Requiem of Spirit Warp => Desert Colossus,Requiem of Spirit Warp <= Desert Colossus,,Entrance,Requiem of Spirit Warp => Desert Colossus,
Serenade of Water Warp => Lake Hylia,Serenade of Water Warp => Lake Hylia,Serenade of Water Warp <= Lake Hylia,,Entrance,Serenade of Water Warp => Lake Hylia,
Death Mountain Owl Flight => Kakariko Impa Ledge,Death Mountain Owl Flight => Kakariko Impa Ledge,Death Mountain Owl Flight <= Kakariko Impa Ledge,,Entrance,Death Mountain Owl Flight => Kakariko Impa Ledge,
Lake Hylia Owl Flight => Hyrule Field,Lake Hylia Owl Flight => Hyrule Field,Lake Hylia Owl Flight <= Hyrule Field,,Entrance,Lake Hylia Owl Flight => Hyrule Field,
Castle Grounds => Castle Town,Castle Grounds => Castle Town,Castle Grounds <= Castle Town,,Entrance,Castle Grounds => Castle Town,
Castle Town => Castle Grounds,Castle Town => Castle Grounds,Castle Town <= Castle Grounds,,Entrance,Castle Town => Castle Grounds,
Castle Town => Castle Town Entrance,Castle Town => Castle Town Entrance,Castle Town <= Castle Town Entrance,,Entrance,Castle Town => Castle Town Entrance,
Castle Town => Temple of Time Exterior,Castle Town => Temple of Time Exterior,Castle Town <= Temple of Time Exterior,,Entrance,Castle Town => Temple of Time Exterior,
Castle Town Entrance => Castle Town,Castle Town Entrance => Castle Town,Castle Town Entrance <= Castle Town,,Entrance,Castle Town Entrance => Castle Town,
Castle Town Entrance => Hyrule Field,Castle Town Entrance => Hyrule Field,Castle Town Entrance <= Hyrule Field,,Entrance,Castle Town Entrance => Hyrule Field,
