DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem,EntrancePair
MaskDeku,Starting Item,Deku Mask,Misc,Item,Starting Item,Deku Mask,
ItemBow,Hero's Bow Chest,Hero's Bow,Woodfall Temple,Item,Hero's Bow Chest,Hero's Bow|Bow Upgrade,
ItemFireArrow,Fire Arrow Chest,Fire Arrow,Snowhead Temple,Item,Fire Arrow Chest,Fire Arrow,
ItemIceArrow,Ice Arrow Chest,Ice Arrow,Great Bay Temple,Item,Ice Arrow Chest,Ice Arrow,
ItemLightArrow,Light Arrow Chest,Light Arrow,Stone Tower Temple,Item,Light Arrow Chest,Light Arrow,
ItemBombBag,Bomb Bag Purchase,Bomb Bag,West Clock Town,Item,Bomb Bag Purchase,Bomb Bag|Bomb Bag Upgrade,
ItemMagicBean,Bean Man,Magic Bean,Deku Palace,Item,Bean Man,Magic Bean,
ItemPowderKeg,Powder Keg Challenge,Powder Keg,Goron Village,Item,Powder Keg Challenge,Powder Keg,
ItemPictobox,Koume,Pictobox,Southern Swamp,Item,Koume,Pictobox,
ItemLens,Lens of Truth Chest,Lens of Truth,Goron Village,Item,Lens of Truth Chest,Lens of Truth,
ItemHookshot,Hookshot Chest,Hookshot,Pirates' Fortress Interior,Item,Hookshot Chest,Hookshot,
FairyMagic,Town Great Fairy Non-Human,Magic Power,North Clock Town,Item,Town Great Fairy Non-Human,Magic Power|Magic Power Upgrade,
FairySpinAttack,Woodfall Great Fairy,Spin Attack,Woodfall,Item,Woodfall Great Fairy,Spin Attack,
FairyDoubleMagic,Snowhead Great Fairy,Extended Magic Power,Snowhead,Item,Snowhead Great Fairy,Extended Magic Power|Magic Power Upgrade,
FairyDoubleDefense,Ocean Great Fairy,Double Defense,Zora Cape,Item,Ocean Great Fairy,Double Defense,
ItemFairySword,Ikana Great Fairy,Great Fairy's Sword,Ikana Canyon,Item,Ikana Great Fairy,Great Fairy's Sword,
ItemBottleWitch,Kotake,Bottle with Red Potion,Southern Swamp,Item,Kotake,Bottle with Red Potion,
ItemBottleAliens,Aliens Defense,Bottle with Milk,Romani Ranch,Item,Aliens Defense,Bottle with Milk,
ItemBottleGoronRace,Goron Race,Bottle with Gold Dust,Twin Islands,Item,Goron Race,Bottle with Gold Dust,
ItemBottleBeavers,Beaver Race #1,Empty Bottle,Zora Cape,Item,Beaver Race #1,Empty Bottle,
ItemBottleDampe,Dampe Digging,Empty Bottle,Ikana Graveyard,Item,Dampe Digging,Empty Bottle,
ItemBottleMadameAroma,Madame Aroma in Bar,Bottle with Chateau Romani,East Clock Town,Item,Madame Aroma in Bar,Bottle with Chateau Romani,
ItemNotebook,Bombers' Hide and Seek,Bombers' Notebook,North Clock Town,Item,Bombers' Hide and Seek,Bombers' Notebook,
UpgradeRazorSword,Mountain Smithy Day 1,Razor Sword,Mountain Village,Item,Mountain Smithy Day 1,Razor Sword|Sword Upgrade,
UpgradeGildedSword,Mountain Smithy Day 2,Gilded Sword,Mountain Village,Item,Mountain Smithy Day 2,Gilded Sword|Sword Upgrade,
UpgradeMirrorShield,Mirror Shield Chest,Mirror Shield,Beneath the Well,Item,Mirror Shield Chest,Mirror Shield,
