DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem
PedItem1,Ped Item1,Smith Sword,Overworld,Item,PedItem1,GreenSword|SmithSword
PedItem2,Ped Item2,Smith Sword,Overworld,Item,PedItem2,RedSword|SmithSword
PedItem3,Ped Item3,Smith Sword,Overworld,Item,PedItem3,BlueSword|SmithSword
SmithHouse,Smith House,,Overworld,Item,SmithHouse,
IntroItem1,Intro Item1,Smith Sword,Overworld,Item,IntroItem1,SmithSword
IntroItem2,Intro Item2,Shield,Overworld,Item,IntroItem2,Shield
LinkMinishWaterHoleHeartPiece,Link Minish Water Hole Heart Piece,,Overworld,Item,LinkMinishWaterHoleHeartPiece,
HyruleWellTop,Hyrule Well Top,Shield,Overworld,Item,HyruleWellTop,Shield
HyruleWellLeft,Hyrule Well Left,,Overworld,Item,HyruleWellLeft,
HyruleWellBottom,Hyrule Well Bottom,,Overworld,Item,HyruleWellBottom,
HyruleWellPillar,Hyrule Well Pillar,,Overworld,Item,HyruleWellPillar,
HyruleWellRight,Hyrule Well Right,,Overworld,Item,HyruleWellRight,
PreCastleCaveHeartPiece,Pre Castle Cave Heart Piece,,Overworld,Item,PreCastleCaveHeartPiece,
SwiftbladeScroll1,Swiftblade Scroll1,Spin Attack,Overworld,Item,SwiftbladeScroll1,SpinAttack
SwiftbladeScroll2,Swiftblade Scroll2,Rock Breaker,Overworld,Item,SwiftbladeScroll2,RockBreaker
SwiftbladeScroll3,Swiftblade Scroll3,Dash Attack,Overworld,Item,SwiftbladeScroll3,DashAttack
SwiftbladeScroll4,Swiftblade Scroll4,Down Thrust,Overworld,Item,SwiftbladeScroll4,DownThrust
GrimbladeHeartPiece,Grimblade Heart Piece,,Overworld,Item,GrimbladeHeartPiece,
GrimbladeScroll,Grimblade Scroll,Sword Beam,Overworld,Item,GrimbladeScroll,SwordBeam
CastleWaterLeft,Castle Water Left,Bomb Bag,Overworld,Item,CastleWaterLeft,BombBag
CastleWaterRight,Castle Water Right,,Overworld,Item,CastleWaterRight,
CafeLady,Cafe Lady,Kinstone X. Red Spike,Overworld,Item,CafeLady,KinstoneX.RedSpike
