DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem
Deku Mask,Starting Item,Deku Mask,Misc,Item,Starting Item,Deku Mask
Hero's Bow,Hero's Bow Chest,Hero's Bow,Woodfall Temple,Item,Hero's Bow Chest,Hero's Bow
Fire Arrow,Fire Arrow Chest,Fire Arrow,Snowhead Temple,Item,Fire Arrow Chest,Fire Arrow
Ice Arrow,Ice Arrow Chest,Ice Arrow,Great Bay Temple,Item,Ice Arrow Chest,Ice Arrow
Light Arrow,Light Arrow Chest,Light Arrow,Stone Tower Temple,Item,Light Arrow Chest,Light Arrow
Bomb Bag (20),Bomb Bag Purchase,Bomb Bag,West Clock Town,Item,Bomb Bag Purchase,Bomb Bag
Magic Bean,Bean Man,Magic Bean,Deku Palace,Item,Bean Man,Magic Bean
Powder Keg,Powder Keg Challenge,Powder Keg,Goron Village,Item,Powder Keg Challenge,Powder Keg
Pictobox,Koume,Pictobox,Southern Swamp,Item,Koume,Pictobox
Lens of Truth,Lens of Truth Chest,Lens of Truth,Goron Village,Item,Lens of Truth Chest,Lens of Truth
Hookshot,Hookshot Chest,Hookshot,Pirates' Fortress Interior,Item,Hookshot Chest,Hookshot
Great Fairy Magic Meter,Town Great Fairy Non-Human,Magic Power,North Clock Town,Item,Town Great Fairy Non-Human,Magic Power
Great Fairy Spin Attack,Woodfall Great Fairy,Spin Attack,Woodfall,Item,Woodfall Great Fairy,Spin Attack
Great Fairy Extended Magic,Snowhead Great Fairy,Extended Magic Power,Snowhead,Item,Snowhead Great Fairy,Extended Magic Power
Great Fairy Double Defense,Ocean Great Fairy,Double Defense,Great Bay Cape,Item,Ocean Great Fairy,Double Defense
Great Fairy's Sword,Ikana Great Fairy,Great Fairy's Sword,Ikana Canyon,Item,Ikana Great Fairy,Great Fairy's Sword
Witch Bottle,Kotake,Bottle with Red Potion,Southern Swamp,Item,Kotake,Bottle with Red Potion
Aliens Bottle,Aliens Defense,Bottle with Milk,Romani Ranch,Item,Aliens Defense,Bottle with Milk
Gold Dust,Goron Race,Gold Dust,Twin Islands,Item,Goron Race,Gold Dust
Beaver Race Bottle,Beaver Race #1,Empty Bottle,Great Bay Cape,Item,Beaver Race #1,Empty Bottle
Dampe Bottle,Dampe Digging,Empty Bottle,Ikana Graveyard,Item,Dampe Digging,Empty Bottle
