DictionaryName,LocationName,ItemName,LocationArea,ItemSubType,SpoilerLocation,SpoilerItem,EntrancePair
Adult Spawn => Temple of Time,Adult Spawn > Temple of Time,,Castle Town,Entrance,Adult Spawn>Temple of Time,Temple of Time,
Child Spawn => Links House,Child Spawn > Links House,,Kokiri Forest,Entrance,Child Spawn>KF Links House,KF Links House,
Bolero of Fire Warp => Death Mountain Crater Central Local,Bolero of Fire Warp > Death Mountain Crater Central Local,Death Mountain Crater Central Local < Bolero of Fire Warp,Death Mountain,Entrance,Bolero of Fire Warp>DMC Central Local,DMC Central Local<Bolero of Fire Warp,
Minuet of Forest Warp => Sacred Forest Meadow,Minuet of Forest Warp > Sacred Forest Meadow,Sacred Forest Meadow < Minuet of Forest Warp,Lost Woods,Entrance,Minuet of Forest Warp>Sacred Forest Meadow,Sacred Forest Meadow<Minuet of Forest Warp,
Nocturne of Shadow Warp => Shadow Temple Warp Region,Nocturne of Shadow Warp > Shadow Temple Warp Region,Shadow Temple Warp Region < Nocturne of Shadow Warp,Kakariko Village,Entrance,Nocturne of Shadow Warp>Graveyard Warp Pad Region,Graveyard Warp Pad Region<Nocturne of Shadow Warp,
Prelude of Light Warp => Temple of Time,Prelude of Light Warp > Temple of Time,Temple of Time < Prelude of Light Warp,Castle Town,Entrance,Prelude of Light Warp>Temple of Time,Temple of Time<Prelude of Light Warp,
Requiem of Spirit Warp => Desert Colossus,Requiem of Spirit Warp > Desert Colossus,Desert Colossus < Requiem of Spirit Warp,Gerudo Desert,Entrance,Requiem of Spirit Warp>Desert Colossus,Desert Colossus<Requiem of Spirit Warp,
Serenade of Water Warp => Lake Hylia,Serenade of Water Warp > Lake Hylia,Lake Hylia < Serenade of Water Warp,Lake Hylia,Entrance,Serenade of Water Warp>Lake Hylia,Lake Hylia<Serenade of Water Warp,
Death Mountain Owl Flight => Kakariko Impa Ledge,Death Mountain Owl Flight > Kakariko Impa Ledge,,Death Mountain,Entrance,DMT Owl Flight>Kak Impas Ledge,Kak Impas Ledge<DMT Owl Flight,
Lake Hylia Owl Flight => Hyrule Field,Lake Hylia Owl Flight > Hyrule Field,,Lake Hylia,Entrance,LH Owl Flight>Hyrule Field,Hyrule Field<LH Owl Flight,
Castle Grounds => Castle Town,Castle Grounds > Castle Town,Castle Town < Castle Grounds,Castle Town,Entrance,Castle Grounds>Market,Market<Castle Grounds,Castle Town => Castle Grounds
Castle Town => Castle Grounds,Castle Town > Castle Grounds,Castle Grounds < Castle Town,Castle Town,Entrance,Market>Castle Grounds,Castle Grounds<Market,Castle Grounds => Castle Town
Castle Town => Castle Town Entrance,Castle Town > Castle Town Entrance,Castle Town Entrance < Castle Town,Castle Town,Entrance,Market>Market Entrance,Market Entrance<Market,Castle Town Entrance => Castle Town
Castle Town => Temple of Time Exterior,Castle Town > Temple of Time Exterior,Temple of Time Exterior < Castle Town,Castle Town,Entrance,Market>ToT Entrance,ToT Entrance<Market,Temple of Time Exterior => Castle Town
Castle Town Entrance => Castle Town,Castle Town Entrance > Castle Town,Castle Town < Castle Town Entrance,Castle Town,Entrance,Market Entrance>Market,Market<Market Entrance,Castle Town => Castle Town Entrance
Castle Town Entrance => Hyrule Field,Castle Town Entrance > Hyrule Field,Hyrule Field < Castle Town Entrance,Castle Town,Entrance,Market Entrance>Hyrule Field,Hyrule Field<Market Entrance,Hyrule Field => Castle Town Entrance
Darunias Chamber => Death Mountain Crater Lower Local,Darunias Chamber > Death Mountain Crater Lower Local,Death Mountain Crater Lower Local < Darunias Chamber,Death Mountain,Entrance,GC Darunias Chamber>DMC Lower Local,DMC Lower Local<GC Darunias Chamber,Death Mountain Crater Lower Nearby => Darunias Chamber
Death Mountain => Goron City,Death Mountain > Goron City,Goron City < Death Mountain,Death Mountain,Entrance,Death Mountain>Goron City,Goron City<Death Mountain,Goron City => Death Mountain
Death Mountain => Kakariko Village Behind Gate,Death Mountain > Kakariko Village Behind Gate,Kakariko Village Behind Gate < Death Mountain,Death Mountain,Entrance,Death Mountain>Kak Behind Gate,Kak Behind Gate<Death Mountain,Kakariko Village Behind Gate => Death Mountain
Death Mountain Crater Lower Nearby => Darunias Chamber,Death Mountain Crater Lower Nearby > Darunias Chamber,Darunias Chamber < Death Mountain Crater Lower Nearby,Death Mountain,Entrance,DMC Lower Nearby>GC Darunias Chamber,GC Darunias Chamber<DMC Lower Nearby,Darunias Chamber => Death Mountain Crater Lower Local
Death Mountain Crater Upper Nearby => Death Mountain Summit,Death Mountain Crater Upper Nearby > Death Mountain Summit,Death Mountain Summit < Death Mountain Crater Upper Nearby,Death Mountain,Entrance,DMC Upper Nearby>Death Mountain Summit,Death Mountain Summit<DMC Upper Nearby,Death Mountain Summit => Death Mountain Crater Upper Local
